APPs,Tipo,Descrição
[Scimago Graphica](https://www.graphica.app),Gráficos e mapas,Software simples e intuitivo para criação de gráficos científicos e matemáticos; sendo muito útil para fins educacionais e acadêmicos
[Gnuplot](http://www.gnuplot.info),Gráficos,Programa poderoso para criação de gráficos 2D e 3D; com suporte a várias saídas (PDF; PNG; SVG) e integração com linguagens como Python e LaTeX
[SciDAVis](https://scidavis.sourceforge.net),Gráficos,Ferramenta focada em análise de dados e geração de gráficos científicos; com interface amigável
[LabPlot](https://labplot.kde.org),Gráficos,Similar ao Origin; ideal para criar gráficos e analisar dados com suporte para scripts em Python
[Plotly](https://plotly.com),Gráficos,Ferramenta interativa baseada em Python; R ou navegador; que pode ser usada offline para gráficos sofisticados
[Flourish](https://app.flourish.studio/projects),Gráficos,Plataforma online gratuita que permite criar visualizações de dados interativas e atraentes; mesmo sem conhecimento prévio de programação
[Veusz](https://veusz.github.io),Gráficos,Cria gráficos científicos de alta qualidade; projetado para ser fácil de usar; flexível e altamente configurável; atendendo às necessidades de pesquisadores; engenheiros e outros profissionais que precisam de gráficos precisos e visualmente atraentes
[RAWGraphs](https://www.rawgraphs.io),Gráficos,Estrutura de visualização de dados de código aberto construída com o objetivo de tornar a representação visual de dados complexos fácil para todos
[SAGA GIS](https://saga-gis.sourceforge.io/),Mapas,Voltado para análises espaciais e visualização de dados geoespaciais; incluindo mapeamento temático
[DIVA-GIS](https://diva-gis.org/),Mapas,Específico para mapeamento de biodiversidade e análise geográfica básica
[GeoDa](https://geodacenter.github.io/),Mapas,Ferramenta especializada em análises espaciais estatísticas; com suporte a mapas temáticos
[OrbisGIS](https://orbisgis.org/),Mapas,Focado em SIG e criação de mapas com funcionalidades para análise espacial
[ILWIS (Integrated Land and Water Information System)](https://www.itc.nl/ilwis/),Mapas,Excelente para processamento de imagens; análise geográfica e criação de mapas
[uDig (User-friendly Desktop Internet GIS)](http://udig.refractions.net/),Mapas,SIG open-source com foco em facilidade de uso e suporte a mapeamento interativo
[OpenJump GIS](https://veusz.github.io),Mapas,Ferramenta leve para análise espacial e criação de mapas básicos; compatível com diversos formatos
[TerraView](http://www.obt.inpe.br/OBT/assuntos/projetos/terralib-terraview),Mapas,Desenvolvido pelo INPE; permite análise e visualização de dados espaciais com foco em mapas temáticos
[MapWindow GIS](https://www.mapwindow.org/),Mapas,SIG focado em visualização e análise espacial; com funcionalidades básicas de edição de mapas
[Marble](https://marble.kde.org/),Mapas,Um globo virtual semelhante ao Google Earth; com recursos de visualização geoespacial
