Bases de dados,Descrição
[IBGE](https://www.ibge.gov.br/geociencias/downloads-geociencias.html),Limites territoriais e censitários do Brasil
[IBGE Cidades](https://cidades.ibge.gov.br/),Informações do IBGE sobre os municípios e estados do Brasil
[Sistema Nacional de Informações sobre Recursos Hídricos (SNIRH)](https://www.snirh.gov.br/),Base para disponibilização das informações sobre águas no Brasil
[Sistema IBGE de Recuperação Automática (SIDRA)](https://sidra.ibge.gov.br/),Indicadores econômicos; financeiros; sociais e políticos do Brasil
[FBDS](http://geo.fbds.org.br/),Uso da terra; APP e hidrografia - Mata Atlântica e Cerrado
[Atlas da Mata Atlântica](http://mapas.sosma.org.br/dados/),Mapeamento de floresta para o Bioma da Mata Atlântica
[Atlas da Agropecuária Brasileira](http://atlasagropecuario.imaflora.org/mapa),Dados dos limites de polígonos do Cadastro Ambiental Rural (CAR)
[GeoBank](http://geosgb.cprm.gov.br/),Dados geológicos do Brasil
[Pastagem.org](http://maps.lapig.iesa.ufg.br),Dados de pastagens e gado para o Brasil
[CanaSat](http://www.dsr.inpe.br/laf/canasat/),Dados de cana-de-açúcar para o Brasil
[CSR Maps](http://maps.csr.ufmg.br),Diversos dados vetoriais e raster para o Brasil
[Dados Abertos da Agência Nacional de Águas e Saneamento Básico](https://dadosabertos.ana.gov.br/),Dados de águas e saneamento básico para o Brasil
[TerraBrasilis](http://terrabrasilis.dpi.inpe.br/),Dados de estações pluviométricas e fluviométricas para o Brasil
[HIDROWEB](https://www.snirh.gov.br/hidroweb/serieshistoricas),Dados de infraestrutura de transporte (rodovias; ferrovias e hidrovias) do Brasil
[Departamento Nacional de Infraestrutura de Transportes (DNIT)](https://www.gov.br/dnit/pt-br/assuntos/atlas-e-mapas),Plataforma web desenvolvida pelo INPE para acesso; consulta; análise e disseminação de dados geográficos
[Intact Forest Landscapes](https://intactforests.org/data.ifl.html),Dados de floresta de paisagens intactas para o mundo
[Ecoregions](https://ecoregions2017.appspot.com/),Dados de biorregiões e biomas do mundo
[UN Biodiversity Lab](https://www.unbiodiversitylab.org/),Diversas bases de dados para o mundo
[Biodiversity Hotspots](https://zenodo.org/record/3261807#.YA8lpPv0nOY),Dados dos limites dos Hotspots de Biodiversidade
[IUCN Red List of Threatened Species](https://www.iucnredlist.org/resources/spatial-data-download),Dados dos limites das distribuições das espécies para o mundo
[Map of Life (MOL)](https://mol.org/),Dados da distribuição de espécies e outros dados para o mundo
[Key Biodiversity Areas](http://www.keybiodiversityareas.org/kba-data/request),Dados dos limites das Key Biodiversity Areas
[Marineregions.org](http://marineregions.org/),Informações de limites marinhos do mundo
[HydroSHEDS](https://www.hydrosheds.org/),Informações hidrológicas do mundo
[Water Information Network System](http://ihp-wins.unesco.org/),Informações hidrológicas do mundo
[Freshwater Information Platform](http://project.freshwaterbiodiversity.eu/),Informações hidrológicas do mundo
[Global Roads Inventory Project (GRIP)](https://www.globio.info/download-grip-dataset),Dados de estradas do mundo todo
[Database of Global Administrative Areas (GADM)](https://gadm.org/),Limites de áreas administrativas do mundo
[Natural Earth](https://www.naturaleatoriorthdata.com/),Diversos limites para o mundo
[Socioeconomic Data and Applications Center (sedac)](https://sedac.ciesin.columbia.edu/),Dados socio-econômicos para o mundo
[WorldPop](https://www.worldpop.org/),Dados sobre distribuição; demogradia e dinâmica da população no mundo
[Protected Planet](https://www.protectedplanet.net),Limites de áreas protegidas para o mundo
[Global Biological Information Facility (GBIF)](http://www.gbif.org),Dados de ocorrências de espécies para o mundo
[Species Link](http://www.splink.cria.org.br),Dados de ocorrências de espécies para o Brasil
[Global Invasive Species Information Network (GISIN)](http://www.gisin.org),Dados de ocorrências de espécies invasoras para o mundo
[International Institute for Applied Systems Analysis (IIASA)](https://iiasa.ac.at/),Dados de mudanças climáticas; segurança energética; envelhecimento da população e desenvolvimento sustentável
